City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,ambasa,23.9172,91.8472,28.8,59,4,1.23,IN,1698378098
198,anadyr,64.75,177.4833,0.28,86,75,3.0,RU,1698378098
199,lihue,21.9789,-159.3672,27.58,76,0,0.0,US,1698377996
200,tostado,-29.232,-61.7692,20.55,68,67,3.56,AR,1698378098
201,korla,41.7597,86.1469,15.72,27,53,1.63,CN,1698378098
202,kismayo,-0.3582,42.5454,27.17,77,73,4.53,SO,1698378099
203,vung tau,10.346,107.0843,29.16,71,88,1.99,VN,1698378099
204,pangody,65.85,74.4859,-12.17,89,68,5.03,RU,1698378099
205,santander,43.4647,-3.8044,13.62,82,0,1.54,ES,1698377989
206,murghob,38.1702,73.9667,-0.42,63,66,1.65,TJ,1698378099
207,masuguru,-11.3667,38.4167,25.69,75,44,1.88,TZ,1698378099
208,stanley,54.868,-1.6985,9.6,94,75,4.63,GB,1698378099
209,haiku-pauwela,20.9219,-156.3051,28.01,67,0,4.12,US,1698378099
210,naryn,41.4287,75.9911,6.52,67,100,1.66,KG,1698378100
211,val-des-monts,45.6501,-75.666,15.64,96,100,3.61,CA,1698377866
212,mizan teferi,6.9833,35.5833,16.57,96,100,1.17,ET,1698378100
213,geraldton,-28.7667,114.6,23.23,31,1,8.75,AU,1698378055
214,arraial do cabo,-22.9661,-42.0278,21.42,94,100,2.43,BR,1698378003
215,invercargill,-46.4,168.35,8.34,60,86,8.94,NZ,1698378100
216,choibalsan,48.0667,114.5,11.34,21,15,2.85,MN,1698378100
217,kegeyli shahar,42.7767,59.6078,8.05,56,87,5.82,UZ,1698378100
218,ancud,-41.8697,-73.8203,10.29,86,100,7.64,CL,1698378100
219,constantia,44.1833,28.65,15.39,67,36,3.28,RO,1698378013
220,kerikeri,-35.2268,173.9474,14.39,83,100,1.79,NZ,1698378101
221,crane,31.3974,-102.3501,21.27,61,0,3.99,US,1698378101
222,mount isa,-20.7333,139.5,29.87,8,2,5.66,AU,1698378101
223,tofol,5.3248,163.0078,28.88,79,100,1.54,FM,1698378009
224,ribeira grande,38.5167,-28.7,18.93,64,100,7.38,PT,1698378101
225,bay roberts,47.5999,-53.2648,8.86,89,63,0.89,CA,1698378101
226,sabha,27.0377,14.4283,22.31,45,0,3.02,LY,1698378101
227,patiala,30.3267,76.4003,25.89,28,0,2.23,IN,1698378102
228,aasiaat,68.7098,-52.8699,-9.63,86,95,2.6,GL,1698378014
229,hasaki,35.7333,140.8333,23.22,53,5,4.57,JP,1698378040
230,suva,-18.1416,178.4415,26.71,74,75,7.2,FJ,1698378102
231,pikeville,37.4793,-82.5188,20.45,59,0,0.0,US,1698378102
232,port lincoln,-34.7333,135.8667,18.98,50,81,7.44,AU,1698378102
233,kaa-khem,51.6833,94.7333,4.67,29,99,0.88,RU,1698378102
234,kirkwood,38.5834,-90.4068,21.91,78,40,5.66,US,1698377954
235,minas de marcona,-15.2119,-75.1103,14.16,88,95,4.39,PE,1698378102
236,amga,60.8953,131.9608,-5.79,82,90,0.65,RU,1698378103
237,khilok,51.3674,110.4676,8.07,39,100,1.68,RU,1698378103
238,constitucion,-35.3333,-72.4167,10.01,91,3,4.03,CL,1698378057
239,prado,-17.3411,-39.2208,24.39,88,99,5.29,BR,1698378103
240,raduzhny,62.0961,77.475,-7.07,83,100,8.15,RU,1698378103
241,san juan de uraba,8.7592,-76.5297,24.38,87,96,7.38,CO,1698378103
242,nuuk,64.1835,-51.7216,-1.66,86,100,3.6,GL,1698377936
243,sterling,39.0062,-77.4286,18.62,77,40,2.24,US,1698377808
244,qaqortoq,60.7167,-46.0333,-0.63,49,51,2.05,GL,1698378103
245,aykhal,66.0,111.5,-11.76,99,100,2.05,RU,1698378022
246,whitehorse,60.7161,-135.0538,-5.66,88,40,2.06,CA,1698377999
247,kailua-kona,19.6406,-155.9956,28.98,80,20,3.6,US,1698378029
248,argo,37.6333,22.7333,17.1,79,100,1.51,GR,1698378104
249,egilsstadir,65.2653,-14.3948,1.95,100,75,2.06,IS,1698378104
250,byaroza,52.5314,24.9786,9.39,94,96,3.33,BY,1698378104
251,bamiantong,44.9333,130.5333,8.65,23,19,2.94,CN,1698378104
252,summerside,46.3959,-63.7876,12.07,76,99,2.57,CA,1698377822
253,vilyuysk,63.7553,121.6247,-5.0,90,99,1.79,RU,1698378104
254,horta,38.5333,-28.6333,18.29,65,100,7.48,PT,1698378105
255,touros,-5.1989,-35.4608,26.87,71,100,5.0,BR,1698378105
256,coxim,-18.5067,-54.76,27.78,59,94,1.2,BR,1698378105
257,sisimiut,66.9395,-53.6735,-4.13,78,92,4.22,GL,1698378105
258,visakhapatnam,17.69,83.2093,28.94,74,40,1.54,IN,1698378039
259,susuman,62.7833,148.1667,-17.79,90,98,0.89,RU,1698378105
260,nyurba,63.2842,118.3319,-3.95,94,98,0.48,RU,1698378105
261,sweetwater,25.7634,-80.3731,26.68,76,75,6.17,US,1698378019
262,olonkinbyen,70.9221,-8.7187,-0.41,72,83,1.65,SJ,1698378106
263,al kharj,24.155,47.3346,21.32,63,0,2.36,SA,1698378106
264,codrington,-38.2667,141.9667,19.57,36,35,3.95,AU,1698378106
265,es castell,39.8795,4.2854,21.38,56,0,3.6,ES,1698378106
266,rye,40.9807,-73.6837,21.17,77,0,1.54,US,1698377872
267,alegrete,-29.7831,-55.7919,13.65,78,0,4.14,BR,1698378106
268,dom pedro,-4.4833,-44.45,24.35,75,4,2.42,BR,1698378092
269,bamboo flat,11.7,92.7167,30.05,74,40,2.06,IN,1698378106
270,fale old settlement,-9.3852,-171.2468,28.4,77,66,6.58,TK,1698378106
271,porbandar,21.6422,69.6093,22.99,83,1,1.54,IN,1698378107
272,lafia,8.4833,8.5167,23.12,91,42,0.59,NG,1698378107
273,brisas de zicatela,15.8369,-97.0419,26.53,85,100,2.24,MX,1698378107
274,batavia,41.85,-88.3126,19.31,92,100,6.17,US,1698378107
275,ust-nera,64.5667,143.2,-14.82,87,79,1.0,RU,1698378107
276,isangel,-19.55,169.2667,30.06,84,75,3.09,VU,1698378107
277,flin flon,54.7682,-101.865,-4.39,65,26,2.16,CA,1698378107
278,liptovsky hradok,49.0396,19.7234,9.35,97,100,1.87,SK,1698378107
279,vilcun,-38.65,-72.2333,6.41,98,48,0.81,CL,1698378108
280,enewetak,11.3474,162.3373,28.73,71,100,5.34,MH,1698378108
281,camaiore,43.9097,10.2419,21.18,92,100,9.28,IT,1698378108
282,zaozersk,69.4005,32.4476,-4.42,95,100,2.29,RU,1698378108
283,cole harbour,44.6724,-63.4751,13.17,96,25,1.54,CA,1698378108
284,prince rupert,54.3161,-130.3201,8.83,59,0,3.6,CA,1698378108
285,lexington,37.9887,-84.4777,20.0,68,0,4.12,US,1698377848
286,cabedelo,-6.9811,-34.8339,25.37,72,98,5.37,BR,1698378108
287,porto novo,6.4965,2.6036,24.97,89,16,2.18,BJ,1698378108
288,talara,-4.5772,-81.2719,20.2,86,99,4.77,PE,1698378109
289,comodoro rivadavia,-45.8667,-67.5,15.92,36,0,9.77,AR,1698378109
290,shingu,33.7333,135.9833,23.44,42,0,4.13,JP,1698378109
291,vila velha,-20.3297,-40.2925,25.97,89,75,1.03,BR,1698378109
292,progreso,21.2833,-89.6667,27.06,75,62,6.0,MX,1698378109
293,salahonda,2.1019,-78.7217,25.9,81,100,2.27,CO,1698378109
294,alness,57.696,-4.2551,10.92,91,100,7.11,GB,1698378109
